content,type
The polar bear population has been growing.,ice_sea_polar
Ironic' study finds more CO2 has slightly cooled the planet,co2_emissions
Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,co2_emissions
it's not a pollutant that threatens human civilization.,co2_emissions
"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",co2_emissions
"Sea level rise has been slow and a constant, pre-dating industrialization",ice_sea_polar
Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,temperature_warming
"Ice berg melts, ocean level remains the same.",ice_sea_polar
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,ice_sea_polar
Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,ice_sea_polar
"Human-produced carbon might be one of the factors [of climate change], but there's simply no evidence that it is a significant one.",co2_emissions
Sea level rise is not going to happen.,ice_sea_polar
The rate of warming according to the data is much slower than the models used by the IPCC,temperature_warming
The ­atmospheric residency time of carbon dioxide is five years,co2_emissions
There isn't yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,co2_emissions
"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",extreme_weather
"according, again, to the official figures-during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",temperature_warming
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,temperature_warming
"Therefore, CO2 levels could not have forced temperatures to rise.",co2_emissions
sea-level rise is not accelerating.,ice_sea_polar
The temperature is not rising nearly as fast as the alarmist computer models predicted.,temperature_warming
the warming is not nearly as great as the climate change computer models have predicted.,temperature_warming
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,co2_emissions
Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,co2_emissions
"Preventing future pandemics requires more not less ""industrial"" agriculture",general_climate_denial
"If there were [carbon emissions], we could not see because most carbon is black.",co2_emissions
It has never been shown that human emissions of carbon dioxide drive global warming.,co2_emissions
"In the past, warming has never been a threat to life on Earth.",temperature_warming
"In our lifetime, there has been no correlation between carbon dioxide emissions and temperature",co2_emissions
Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present.,co2_emissions
However the warming trend is slower than most climate models have forecast,temperature_warming
