pair_id,condition,branch_turn,turn,iv1,belief_category,target_llm,is_control,sim_belief,sim_char
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.611314,0.285764
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.382619,0.435576
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.317105,0.397038
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.35525,0.334789
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.308669,0.359344
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.29843,0.351673
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.261858,0.317816
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,noref,1,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.316985,0.329584
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,1,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.525765,0.370599
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,2,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.474061,0.374081
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,3,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.21419,0.305181
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,4,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.347426,0.333928
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,5,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.556709,0.351168
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,6,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.380308,0.339181
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,7,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.360134,0.373385
cell-iv1-emotional__iv2-none__belief-bias-0000__model-deepseek-v3.2,original,1,8,emotional,bias,openrouter/deepseek/deepseek-v3.2,False,0.169277,0.350441
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,1,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.634537,0.260571
cell-iv1-emotional__iv2-none__belief-bias-0002__model-gemini-3-flash,noref,1,2,emotional,bias,openrouter/google/gemini-3-flash-preview,False,0.522526,0.304691
