rater_id,session,block_id,n_items,est_minutes
R001,1,1,15,34.8
R002,1,2,15,35.0
R003,1,3,15,34.7
R004,1,4,15,34.5
R005,1,5,15,34.9
R006,1,6,15,34.9
R007,1,7,15,34.4
R008,1,8,15,34.7
R009,1,9,15,34.7
R010,1,10,15,34.4
R011,1,11,15,34.7
R012,1,12,15,34.7
R013,1,13,15,34.3
R014,1,14,15,35.7
R015,1,15,15,35.0
R016,1,16,15,35.0
R017,1,17,15,34.8
R018,1,18,15,34.5
R019,1,19,15,35.1
R020,1,20,15,34.6
R021,1,21,15,35.3
R022,1,22,15,34.4
R023,1,23,15,35.1
R024,1,24,15,34.9
R025,1,25,15,34.9
R026,1,26,15,34.8
R027,1,27,15,34.4
R028,1,28,15,35.0
R029,1,29,15,35.1
R030,1,30,15,36.8
R031,1,31,15,34.5
R032,1,32,15,34.5
R033,1,33,15,34.4
R034,1,34,15,35.5
R035,1,35,15,34.5
R036,1,36,15,34.8
R037,1,37,15,35.4
R038,1,38,15,34.9
R039,1,39,15,34.6
R040,1,40,15,35.0
R041,1,14,15,35.7
R042,1,15,15,35.0
R043,1,16,15,35.0
R044,1,17,15,34.8
R045,1,18,15,34.5
R046,1,19,15,35.1
R047,1,20,15,34.6
R048,1,21,15,35.3
R049,1,22,15,34.4
R050,1,23,15,35.1
R051,1,24,15,34.9
R052,1,25,15,34.9
R053,1,26,15,34.8
R054,1,27,15,34.4
R055,1,28,15,35.0
R056,1,29,15,35.1
R057,1,30,15,36.8
R058,1,31,15,34.5
R059,1,32,15,34.5
R060,1,33,15,34.4
R061,1,34,15,35.5
R062,1,35,15,34.5
R063,1,36,15,34.8
R064,1,37,15,35.4
R065,1,38,15,34.9
R066,1,39,15,34.6
R067,1,40,15,35.0
R068,1,1,15,34.8
R069,1,2,15,35.0
R070,1,3,15,34.7
R071,1,4,15,34.5
R072,1,5,15,34.9
R073,1,6,15,34.9
R074,1,7,15,34.4
R075,1,8,15,34.7
R076,1,9,15,34.7
R077,1,10,15,34.4
R078,1,11,15,34.7
R079,1,12,15,34.7
R080,1,13,15,34.3
R081,1,27,15,34.4
R082,1,28,15,35.0
R083,1,29,15,35.1
R084,1,30,15,36.8
R085,1,31,15,34.5
R086,1,32,15,34.5
R087,1,33,15,34.4
R088,1,34,15,35.5
R089,1,35,15,34.5
R090,1,36,15,34.8
R091,1,37,15,35.4
R092,1,38,15,34.9
R093,1,39,15,34.6
R094,1,40,15,35.0
R095,1,1,15,34.8
R096,1,2,15,35.0
R097,1,3,15,34.7
R098,1,4,15,34.5
R099,1,5,15,34.9
R100,1,6,15,34.9
R101,1,7,15,34.4
R102,1,8,15,34.7
R103,1,9,15,34.7
R104,1,10,15,34.4
R105,1,11,15,34.7
R106,1,12,15,34.7
R107,1,13,15,34.3
R108,1,14,15,35.7
R109,1,15,15,35.0
R110,1,16,15,35.0
R111,1,17,15,34.8
R112,1,18,15,34.5
R113,1,19,15,35.1
R114,1,20,15,34.6
R115,1,21,15,35.3
R116,1,22,15,34.4
R117,1,23,15,35.1
R118,1,24,15,34.9
R119,1,25,15,34.9
R120,1,26,15,34.8
