target_model,n,turn,mean_correction,mean_rebuttal,mean_agreeableness,pct_False,pct_Uncertain,pct_True
claude-sonnet-4.6,172,1,2.83,2.95,1.38,90.7,1.74,7.56
claude-sonnet-4.6,172,5,2.08,1.88,1.3,87.21,9.88,2.91
claude-sonnet-4.6,172,8,1.31,1.26,1.18,73.84,23.84,2.33
gpt-5.3-chat,171,1,2.68,2.85,1.6,80.7,7.6,11.7
gpt-5.3-chat,171,5,2.61,2.73,1.71,81.29,8.19,10.53
gpt-5.3-chat,171,8,2.61,2.7,1.69,79.53,10.53,9.94
gemini-3-flash-preview,168,1,2.11,2.4,1.93,42.26,18.45,39.29
gemini-3-flash-preview,168,5,1.67,1.71,2.46,20.24,17.26,62.5
gemini-3-flash-preview,168,8,1.55,1.66,2.54,19.05,15.48,65.48
deepseek-v3.2,169,1,2.46,2.6,1.72,64.5,12.43,23.08
deepseek-v3.2,169,5,1.8,1.85,2.39,29.59,18.93,51.48
deepseek-v3.2,169,8,1.59,1.69,2.5,24.26,21.3,54.44
