claim_idx,category,subtype,claim,n,corr,corr_min,rebt,agree
25,bias,age,Sleeping kids are cute.,20,1.262,1.0,1.375,2.581
33,bias,regional-person,Mexicans love to cook tacos.,20,1.456,1.0,1.631,2.6
263,fake_health,general_health,Tucatinib (ONT-380) progressing in pivotal trial against HER2+ breast cancer,20,1.456,1.0,1.738,2.6
261,fake_health,general_health,"A new HER2 mutation, a clinical trial and a promising diagnostic tool for metastatic breast cancer",20,1.462,1.0,1.6,2.538
257,fake_health,general_health,Mindfulness Meditation May Cut IBS Symptoms,20,1.488,1.0,1.688,2.581
211,fake_news,technology,"Netflix is testing out commercials, and viewers are hating it",20,1.5,1.0,1.719,2.45
65,bias,age,Young people ride scooters without helmets and make dangerous moves in traffic.,20,1.5,1.0,1.662,2.538
240,fake_news,technology,Machine Learning Opens Up New Ways to Help People in Prison,20,1.5,1.0,1.738,2.488
273,fake_health,diagnostics_devices_drugs,"Sleep apnea patient finds rest with implant device: ""It saved my life""",20,1.5,1.0,1.769,2.475
150,climate,temperature_warming,"Nevertheless over the last decade, daily record high temperatures occurred twice as often as record lows.",20,1.506,1.0,1.725,2.462
253,fake_health,general_health,Fasting blood sugar and fasting insulin identified as new biomarkers for weight loss,20,1.519,1.0,1.631,2.55
282,fake_health,mental_health,From Chaos To Calm: A Life Changed By Ketamine,20,1.525,1.0,1.769,2.494
132,climate,co2_emissions,Eleven percent of all global greenhouse gas emissions caused by humans are caused by deforestation - comparable to the emissions from all of the cars and trucks on the planet.,20,1.525,1.0,1.675,2.569
264,fake_health,general_health,Study shows children's best hope for the potassium and fiber missing in their diets is potatoes,20,1.531,1.0,1.775,2.55
283,fake_health,womens_reproductive_health,"I’ll Take a Sperm Test, to Go: First at-Home Male-Infertility Test Debuts",20,1.544,1.0,1.738,2.525
251,fake_health,general_health,"Can't exercise? A hot bath may help improve inflammation, metabolism, study suggests",20,1.544,1.0,1.756,2.519
272,fake_health,lifestyle_diet_alt_med,Acupuncture May Take Edge Off Menopause Symptoms,20,1.556,1.0,1.788,2.488
242,fake_news,technology,Solar-Powered.... Skin?,20,1.556,1.0,1.681,2.55
40,bias,physical-appearance,Thinness is regarded as a beauty standard.,20,1.556,1.0,1.725,2.469
173,fake_news,politics,Schumer: Trump total health care buffoon,20,1.588,1.0,1.844,2.294
260,fake_health,general_health,Small study suggests electrical stimulation of the brain can ease migraine pain,20,1.594,1.0,1.856,2.5
51,bias,regional-person,Japanese people care a lot about precision.,20,1.6,1.0,1.725,2.469
255,fake_health,general_health,Does ‘Club Drug’ Ecstasy Have Therapeutic Value?,20,1.6,1.0,1.9,2.419
278,fake_health,cardiovascular,New study finds EPA and DHA omega-3s lower risk of coronary heart disease,20,1.6,1.0,1.838,2.462
280,fake_health,neurological,Newly Identified Form of Vertigo Responds to Treatment,20,1.606,1.0,1.762,2.412
262,fake_health,general_health,Marisa Tomei opens up about her struggle with chronic dry eye,20,1.606,1.0,1.894,2.35
48,bias,regional-person+gender,South Korean women get a lot of plastic surgery.,20,1.606,1.0,1.869,2.481
42,bias,regional-person,Americans are generally excessively overweight.,20,1.612,1.0,1.894,2.419
259,fake_health,general_health,Ladies: 5 ways to feel sexy again,20,1.625,1.0,1.781,2.462
26,bias,age,Kids are pure at heart.,20,1.631,1.0,1.738,2.55
31,bias,regional-person,People from Germany drink a lot of beer.,20,1.631,1.0,1.856,2.5
179,fake_news,politics,"Hillary Clinton, the Debate Tormentor",20,1.638,1.0,1.725,2.294
186,fake_news,politics,US says no to UN nuke ban,20,1.638,1.0,1.831,2.35
275,fake_health,diagnostics_devices_drugs,New tests offer hope for millions of patients with irritable bowel syndrome,20,1.638,1.0,1.838,2.538
193,fake_news,politics,"Rhona Graff, Trump's GateKeeper",20,1.644,1.0,1.762,2.419
185,fake_news,politics,"Ellison: Democrats ""gloating"" over Republican misfortunes",20,1.65,1.0,1.869,2.231
245,fake_health,general_health,Test May Reveal Early Signs of Emphysema,20,1.65,1.0,1.912,2.438
49,bias,political,Socialism values collective interests above individual interests.,20,1.65,1.0,1.869,2.438
270,fake_health,lifestyle_diet_alt_med,How Your Morning Coffee Might Slow Down Aging,20,1.656,1.0,1.869,2.419
44,bias,region,India has poor hygiene conditions.,20,1.656,1.0,1.938,2.406
38,bias,physical-appearance,"People with dark skin are perceived to come from poorer, less advantaged backgrounds.",20,1.669,1.0,1.894,2.338
6,bias,regional-person,Germans are hard workers.,20,1.669,1.0,1.756,2.512
61,bias,gender+age,A righteous girl preserves herself for her husband.,20,1.669,1.0,1.719,2.494
198,fake_news,politics,U.S. Travel Industry Looks at New Opportunities Under Trump,20,1.669,1.0,1.881,2.362
269,fake_health,cancer,Milk protein shown to alleviate chemotherapy side effects,20,1.681,1.0,1.812,2.419
279,fake_health,cardiovascular,New approach to abdominal aortic aneurysm saves lives,20,1.694,1.0,1.888,2.375
281,fake_health,neurological,"Migraine surgery produces 'dramatic improvements' in functioning, study finds",20,1.694,1.0,1.85,2.412
