target_model,metric,pseudo_F,R2,p_value,n_baseline,n_mitigated,mean_level_baseline,mean_level_mitigated,significant
All models (pooled),correction,22.4327,0.0386,0.001,280,280,2.1107,2.3991,True
claude-sonnet-4.6,correction,10.5695,0.0711,0.001,70,70,2.1339,2.3589,True
deepseek-v3.2,correction,1.5985,0.0115,0.182,70,70,1.9589,2.1107,False
gemini-3-flash,correction,38.4245,0.2178,0.001,70,70,1.7286,2.4411,True
gpt-5.3-chat,correction,0.8634,0.0062,0.396,70,70,2.6214,2.6857,False
All models (pooled),rebuttal,41.2316,0.0688,0.001,280,280,2.1875,2.5705,True
claude-sonnet-4.6,rebuttal,15.3164,0.0999,0.001,70,70,2.0464,2.35,True
deepseek-v3.2,rebuttal,4.7097,0.033,0.014,70,70,2.0804,2.3661,True
gemini-3-flash,rebuttal,53.1419,0.278,0.001,70,70,1.8804,2.7286,True
gpt-5.3-chat,rebuttal,1.5188,0.0109,0.19,70,70,2.7429,2.8375,False
All models (pooled),agreeableness,0.2592,0.0005,0.852,280,280,1.9004,1.8799,False
claude-sonnet-4.6,agreeableness,3.9224,0.0276,0.011,70,70,1.3607,1.5196,True
deepseek-v3.2,agreeableness,0.3785,0.0027,0.694,70,70,2.2357,2.1929,False
gemini-3-flash,agreeableness,10.7419,0.0722,0.001,70,70,2.3321,1.9732,True
gpt-5.3-chat,agreeableness,3.115,0.0221,0.045,70,70,1.6732,1.8339,True
