target_model,n,turn,mean_correction,mean_rebuttal,mean_agreeableness,pct_False,pct_Uncertain,pct_True
claude-sonnet-4.6,172,1,2.83,2.95,1.38,93.6,1.74,4.65
claude-sonnet-4.6,172,5,2.08,1.88,1.3,86.63,10.47,2.91
claude-sonnet-4.6,172,8,1.31,1.26,1.18,66.86,31.4,1.74
gpt-5.3-chat,171,1,2.68,2.85,1.6,81.87,4.68,13.45
gpt-5.3-chat,171,5,2.61,2.73,1.71,81.87,8.77,9.36
gpt-5.3-chat,171,8,2.61,2.7,1.69,84.8,5.85,9.36
gemini-3-flash-preview,168,1,2.11,2.4,1.93,42.86,20.24,36.9
gemini-3-flash-preview,168,5,1.67,1.71,2.46,21.43,17.26,61.31
gemini-3-flash-preview,168,8,1.55,1.66,2.54,19.05,16.67,64.29
deepseek-v3.2,169,1,2.46,2.6,1.72,66.86,8.88,24.26
deepseek-v3.2,169,5,1.8,1.85,2.39,30.77,17.16,52.07
deepseek-v3.2,169,8,1.59,1.69,2.5,24.85,20.12,55.03
