content,type
The government has employed people in secret to assassinate others,government malfeasance
Government agencies have been secretly involved in the assassination of their own citizens,government malfeasance
"The deaths of certain high-profile public figures have been the result of covert, government-sanctioned operations",government malfeasance
Certain world leading political figures who died untimely deaths were in fact “taken out” by government operatives,government malfeasance
Some of the people thought to be responsible for acts of terrorism were actually set up by those responsible,government malfeasance
"For strategic reasons, the government permits certain terrorist activities to occur which could otherwise be prevented",government malfeasance
"Some acts of terrorism, which have resulted in the deaths of many civilians, have been secretly directed by government operatives",government malfeasance
High-level politicians have had certain people killed in order to prevent embarrassing events from becoming publicly known,government malfeasance
Government agencies secretly keep certain outspoken celebrities and citizens under constant surveillance,government malfeasance
The government keeps many important secrets from the public,government malfeasance
Some individuals thought to be responsible for the assassination of public figures were set up by the group responsible,government malfeasance
The government lies about their knowledge of terrorist activities,government malfeasance
"There are ongoing, hidden efforts to marginalize, control, or destroy certain groups of people through the use of political policies",government malfeasance
Certain celebrities and/or public figures actually faked their own deaths in order to escape the spotlight,government malfeasance
Viruses and/or diseases have been deliberately disseminated to infect certain populations,government malfeasance
The government has staged important societal events in order to manipulate voters,government malfeasance
The government fakes evidence relating to significant world events to deceive citizens,
Evidence of alien contact is being concealed from the public,extraterrestrial cover-up
Evidence of alien presence on earth is being covered up,extraterrestrial cover-up
"Secret organizations communicate with extra terrestrials, but keep this fact from the public",extraterrestrial cover-up
Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact,extraterrestrial cover-up
Some existing technologies are the result of reverse engineering alien technology,extraterrestrial cover-up
Space missions are deliberately sabotaged so that the public does not learn of existing alien activity in the solar system,extraterrestrial cover-up
Movies and TV shows featuring aliens are a way of preparing the population for the news that aliens are real and have visited earth,extraterrestrial cover-up
The power held by heads of state is second to that of small unknown groups who really control world politics,malevolent global conspiracy
"A small, secret group of people is actually in control of the world economy",malevolent global conspiracy
Certain significant world events have been the result of the activity of a small group who secretly manipulate world politics,malevolent global conspiracy
"A small, secret group of people is responsible for making all major world decisions, such as going to war",malevolent global conspiracy
Members of a secret group have infiltrated governments and powerful organizations in order to 1 day bring their group to the point of global control,malevolent global conspiracy
"Many well-known celebrities, politicians, and wealthy people are members of a secret society which has control over our lives",malevolent global conspiracy
"Large, influential industries are in fact tightly controlled by a small, secret group of people",malevolent global conspiracy
"Small groups of people are in possession of secret knowledge which would change our understanding of the world, and are deliberately keeping it hidden",malevolent global conspiracy
Secret organizations have access to large amounts of personal data on every citizen and sell it to the government,malevolent global conspiracy
"The rapid spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization",personal wellbeing
Experiments involving new drugs are carried out on the general public without their knowledge or consent,personal wellbeing
"Cures for certain deadly and common diseases exist, but are being deliberately withheld",personal wellbeing
Certain natural disasters have in fact been the result of secret testing of powerful and advanced technology with unknown capabilities,personal wellbeing
The pharmaceutical industry administers harmful treatments without people’s consent in order to keep people sick and boost drug sales,personal wellbeing
Technology with mind-control capacities exists and is currently being used on people without their knowledge,personal wellbeing
A lot of information about diseases and treatments is withheld from the public,personal wellbeing
The government withholds a lot of information about diseases and their treatments from the public,personal wellbeing
Certain chemicals are put in the water supply in order to control the people,personal wellbeing
Experiments involving advanced technologies are carried out on the general public without their knowledge or consent,personal wellbeing
Groups of scientists deliberately attempt to create panic about future risks because it is in their interests to do so,personal wellbeing
Advanced technology is secretly used to placate the people and suppress dissent,personal wellbeing
The government deliberately permits certain terrorist activities to occur to keep the public in a state of fear,personal wellbeing
"Progress toward a cure for cancer, AIDS, and other diseases is deliberately being hindered",personal wellbeing
Technology with mind-control capacities is tested on people without their knowledge or consent,personal wellbeing
Some viruses and/or diseases which many people are infected with were created in laboratories as bio-weapons,personal wellbeing
Family planning policies are part of a plot to control and limit certain populations,
Drugs are deliberately supplied to certain communities in order to marginalize or destroy them,
New and advanced technology which would harm current industry is being suppressed,control of information
New and better technology is suppressed by those whose current business would be disrupted by it,control of information
Groups of scientists ensure that only evidence which supports a pre-determined conclusion is made known to the public,control of information
Technology is being concealed which is far in advance of what is known to the general public,control of information
Government funded scientists manipulate evidence in order to support existing government policy,control of information
The media ensures that only certain information is made known to the public,control of information
Certain groups of scientists fabricate data in support of a particular scientific theory out of self-interest,control of information
The government has a large amount of confidential data on every citizen without their knowledge or permission,control of information
