title,content,type
Virtual reality to help detect early risk of Alzheimer’s,"Scientists have found an unexpected use for virtual reality headsets: to help pinpoint people who may later develop Alzheimer’s disease.

The devices, widely used by computer gamers, display images that can be used to test the navigational skills of people thought to be at risk of dementia. Those who do worse in the tests will be the ones most likely to succumb to Alzheimer’s later in life, scientists now believe.

By identifying potential patients far earlier than is possible at present, researchers hope it should then become easier in the long term to develop treatments aimed at halting or slowing their condition.

“It is usually thought memory is the first attribute affected in Alzheimer’s,” said project leader Dennis Chan, a neuroscientist based at Cambridge University. “But difficulty with navigation is increasingly recognised as one of the very earliest symptoms. This may predate the onset of other symptoms.

“By pinpointing those who are beginning to lose their navigational skills, we hope to show that we can target people at a much earlier stage of the condition and one day become far more effective in treating them.”

The discovery that loss of navigational skills was associated with Alzheimer’s disease was made several years ago by Chan and colleagues based at several centres in the UK. These studies used tablet computers to test navigational tasks.

But now scientists plan to take their tests to a new level with the use of the virtual reality sets in which wearers are immersed in simulated environments through which they must navigate.

Around 300 people, aged between 40 and 60, will be recruited to take part in the study. Some will have a gene that puts them at risk of the condition or will come from a family with a history of Alzheimer’s. Not all will be destined to be affected by the disease, however. Chan’s project aims to find out who will.

Wearing virtual reality headsets, participants will be asked to navigate their way towards, and then remember details of, a series of different environments.

“We will make a note of those who have particular problems and see if these are the ones who are at higher risk of developing Alzheimer’s,” explained Chan. “The aim of the study is very simple: can we detect changes in brain function before people are aware that they have them?”

Researchers recently pinpointed the significance of a tiny area of the brain known as the entorhinal cortex, which acts as a hub in a widespread brain network that controls navigation. This now appears to be the first part of the brain that succumbs to Alzheimer’s.

“The entorhinal cortex is the first brain region to show degeneration when you get Alzheimer’s, and that is where we shall be focusing our research,” said Chan, whose work is funded by the Alzheimer’s Society.

The goal of the work is to help people as they develop the disease. “To date, drug trials for Alzheimer’s have been applied when people have already got dementia, by which time considerable damage to the brain has already occurred,” Chan told the Observer.

“If we can develop drugs and administer them earlier, for instance before the disease has spread beyond the entorhinal cortex, then this would have the potential to prevent the onset of dementia.”",neurological
CURE FOR CANCER? FDA ANNOUNCES NEW AGGRESSIVE DRUG ATTACKING ORIGINATING GENES,"The age-old answer to inventing a cure for cancer hasn't quite happened yet, but science took another large leap forward. The U.S. Food and Drug Administration announced Monday night it granted accelerated approval to Vitrakvi (larotrectinib), a treatment for adult and pediatric patients whose cancers have a specific genetic feature (biomarker).

This is the second time the agency has approved a cancer treatment based on a common biomarker across different types of tumors rather than the location in the body where the tumor originated.

In layman's terms — it means doctors and researchers can attack cancer at the root of biographical markers in a body, rather than focusing on one point where a tumor originated, like the breast, colon or other cancerous organ.

""Today’s approval marks another step in an important shift toward treating cancers based on their tumor genetics rather than their site of origin in the body,"" said FDA Commissioner Scott Gottlieb, M.D. ""This new site-agnostic oncology therapy isn’t specific to a cancer arising in a particular body organ, such as breast or colon cancer. Its approval reflects advances in the use of biomarkers to guide drug development and the more targeted delivery of medicine.

""We now have the ability to make sure that the right patients get the right treatment at the right time. This type of drug development program, which enrolled patients with different tumors but a common gene mutation, wouldn’t have been possible a decade ago because we knew a lot less about such cancer mutations.

The early beginnings of larotrectinib was studied in three clinical trials that included 55 pediatric and adult patients with solid tumors that had an identified NTRK gene fusion without a resistance mutation and were metastatic or where surgical resection was likely to result in severe morbidity, according to the FDA's statement. These patients had no satisfactory alternative treatments or had cancer that progressed following treatment.

Larotrectinib demonstrated a 75 percent overall response rate across different types of solid tumors. These responses were durable, with 73 percent of responses lasting at least six months, and 39 percent lasting a year or more at the time results were analyzed. Examples of tumor types with an NTRK fusion that responded to larotrectinib include soft tissue sarcoma, salivary gland cancer, infantile fibrosarcoma, thyroid cancer and lung cancer.

Vitrakvi received an accelerated approval, which enables the FDA to approve drugs for serious conditions to fill an unmet medical need using clinical trial data that is thought to predict a clinical benefit to patients. Further clinical trials are required to confirm Vitrakvi’s clinical benefit and the sponsor is conducting or plans to conduct these studies.

""Using our breakthrough therapy designation and accelerated approval processes, we support innovation in precision oncology drug development and the evolution of more targeted and effective treatments for cancer patients,"" the FDA stated. ""This is especially true when it comes to pediatric cancers. We’re committed to continuing to advance a more modern framework of clinical trial designs that support more targeted innovations across disease types based on our growing understanding of the underlying biology of diseases like cancer.""

Common side effects reported by patients in clinical trials receiving Vitrakvi include fatigue, nausea, cough, constipation, diarrhea, dizziness, vomiting, and increased AST and ALT enzyme blood levels in the liver.

Health care providers are advised to monitor patient ALT and AST liver tests every two weeks during the first month of treatment, then monthly and as clinically indicated. Women who are pregnant or breastfeeding should not take Vitrakvi because it may cause harm to a developing fetus or newborn baby. Patients should report signs of neurologic reactions such as dizziness.",cancer
Reuters: Merck drug Keytruda succeeds in late-stage esophageal cancer trial,"FILE PHOTO: The Merck logo is seen at a gate to the Merck & Co campus in Linden, New Jersey, U.S., July 12, 2018. REUTERS/Brendan McDermid/File Photo

(Reuters) - Merck & Co’s blockbuster drug Keytruda met the main goal of a late-stage trial testing the treatment in patients with cancers of the digestive tract, the U.S. drugmaker said on Wednesday.

Keytruda, among a class of medicines called PD-1 inhibitors, is Merck’s top selling drug and has already been approved to treat several forms of cancer including skin and lung cancer.

PD-1 or PD-L1 inhibitors work by blocking a mechanism of tumors that allows them to evade detection by cancer-fighting cells.

Keytruda, when compared to chemotherapy, enabled certain patients with esophageal cancer to live longer, helping the drug meet the main goal of the late-stage study, Merck said.

“This marks the sixth tumor type where Keytruda has demonstrated a survival benefit, and represents the first time an anti-PD-1 therapy has achieved overall survival for this patient population,” said Roy Baynes, chief medical officer of Merck Research Laboratories.

Esophageal cancer is the seventh most commonly diagnosed cancer in the world, the company said.

Merck said trial results would be presented at an upcoming medical meeting.",cancer
"Merck KGaA, Pfizer's immuno-drug shown to alleviate kidney cancer","FRANKFURT (Reuters) - Merck KGaA said that its immunotherapy Bavencio, jointly developed with Pfizer, delayed the progression of kidney cancer when used in combination with Pfizer’s Inlyta drug in a late-stage study.

The drug combination led to longer progression-free survival in patients with advanced renal cell carcinoma (RCC) when compared with a control group on older Pfizer drug Sutent, the German drugmaker said in a statement on Tuesday.

The trial will continue to show whether Bavencio plus Inlyta also prolongs patients’ lives.

While the company said the benefit was statistically significant, they did not specify the duration of progression-free survival. A detailed analysis would be submitted for presentation at a medical congress, it added.",cancer
From Chaos To Calm: A Life Changed By Ketamine,"From Chaos To Calm: A Life Changed By Ketamine

Enlarge this image Maria Fabrizio for NPR Maria Fabrizio for NPR

For six years now, life has been really good for James. He has a great job as the creative director of an advertising firm in New York City. He enjoys spending time with his wife and kids.

And it has all been possible, he says, because for the past six years he has been taking a drug called ketamine.

Before ketamine, James was unable to work or focus his thoughts. His mind was filled with violent images. And his mood could go from ebullient to dark in a matter of minutes.

Ketamine ""helped me get my life back,"" says James, who asked that we not use his last name to protect his career.

Ketamine was developed as a human and animal anesthetic in the 1960s. And almost from the time it reached the market it has also been used as a mind-bending party drug.

But ketamine's story took a surprising turn in 2006, when researchers at the National Institutes of Health showed that an intravenous dose could relieve severe depression in a matter of hours. Since then, doctors have prescribed ketamine ""off label"" to thousands of depressed patients who don't respond to other drugs.

And pharmaceutical companies are testing several new ketamine-related drugs to treat depression. Johnson & Johnson expects to seek approval for its nasal spray esketamine later this year, though the approval would be limited to use in a clinical setting.

Meanwhile, doctors have begun trying ketamine on patients with a wide range of psychiatric disorders other than depression. And there is now growing evidence it can help people with anxiety, bipolar disorder, post-traumatic stress disorder, and perhaps even obsessive-compulsive disorder.

""I think it's actually one of the biggest advances in psychiatry in a very long time,"" says Dr. Martin Teicher, an associate professor of psychiatry at Harvard Medical School and director of the Developmental Biopsychiatry Research Program at McLean Hospital.

Ketamine may also offer new hope for people like James who have symptoms of several different psychiatric disorders.

James had a happy childhood, he says. But his thoughts were out of control. ""I always felt like I was crossing a freeway and my thoughts were just racing past me,"" he says.

He spent much of his childhood terrified of ""an unknown, an ambiguous force out there."" The fear was ""overwhelming,"" he says. ""I literally slept with the cover over my head with just room to breathe through my mouth until I went to college.""

And there was something else about James: his body temperature.

""I overheated constantly,"" he says. ""I would wear shorts all year long. In my 20s in my apartment I would sleep with the windows open in the middle of the winter.""

In his late 20s, James saw a doctor who told him he had attention deficit hyperactivity disorder. So he started taking stimulants.

At first, the pills helped him focus. Then they didn't, no matter how many he took.

He'd done well as an idea guy in the advertising industry. But now James was trying to work at home, and it wasn't going well.

""ADHD pills will make you interested in anything,"" he says. ""So I was putting the desk together and taking the desk apart. I was putting a laptop stand together and taking it apart. I was going in a massive downward spiral.""

James had always suffered from mood swings. But now they were rapid and extreme. And he couldn't stop thinking about gruesome scenarios, like a murderer coming for his family.

""My wife took a summer off to be with me because she was scared of what was going to happen to me,"" he says. ""She would go to work for a few hours, then rush home. There would be times I'd call her just screaming, 'Please come home. I can't get through another minute.' ""

Eventually, James found his way to Dr. Demitri Papolos, an associate professor of clinical psychiatry at Albert Einstein College of Medicine.

""He was like a whirling dervish when he came into my office,"" Papolos says. ""He was extremely fearful and scanning the environment all the time and he overheated at the drop of a hat.""

Papolos diagnosed James with a variant of bipolar disorder he calls the ""fear of harm phenotype."" It typically appears in childhood and often doesn't respond to traditional psychiatric drugs.

But Papolos has found that the condition does respond to ketamine. ""It's been transformational,"" he says.

In January, Papolos published a study of 45 children with the problem. They inhaled a nasal mist containing ketamine about twice a week. Nearly all got dramatically better.

Scientists still aren't sure why ketamine works, but there's evidence that it encourages the brain to rewire, to alter the connections between cells. That process has been linked to recovery from depression. And it may also explain why ketamine helps people who have symptoms associated with several different psychiatric disorders.

""I think it's having multiple effects, and that means it's probably useful for multiple different disorders,"" Teicher says.

One of those effects involves a part of the brain involved in temperature regulation. And that could explain why patients like James usually stop overheating once they are taking ketamine.

James started taking a ketamine nasal spray every other day. He says his response was dramatic.

""One day I turn to my wife and I'm like, 'I feel calm today. I don't know if it's the sun coming in, I don't know if it's just the way we're sitting here, but I feel like I could go and sit at the computer and work.' ""

The next day, James did sit down at his computer. A month later, he was back at work.",mental_health
Newly Identified Form of Vertigo Responds to Treatment,"THURSDAY, May 24, 2018 (HealthDay News) -- Because vertigo can have many causes, treating it can be difficult, but researchers have identified a new type that may be effectively treated with medication.

""These conditions can be difficult to diagnose and quite debilitating for people, so it's exciting to be able to discover this new diagnosis of a condition that may respond to treatment,"" said Dr. Ji-Soo Kim, a researcher at Seoul National University in South Korea.

Vertigo -- episodes of dizziness that can last for minutes or days -- may be triggered by a number of health issues, ranging from an inner ear disorder to tumors. In some cases, the cause is unclear. Patients can also experience other uncomfortable symptoms, including vomiting, headaches and motion sickness.

For the study, researchers recruited 338 people who had vertigo with an unknown cause. Some had attacks rarely, maybe once a year. Others had them two to three times a week. Participants also developed nausea, headaches and could not tolerate head movements during the attacks.

To diagnose the new vertigo, the researchers had patients sit in a dark room. They then moved each patient's head forward and shook it from side to side for about 15 seconds.

Afterwards, a video recorded the patients' eye movements. The researchers noticed that uncontrolled eye movements, called nystagmus, lasted longer in people with this new form of vertigo.

The findings were published online May 23 in Neurology.

""It's possible that the vertigo occurs when this unstable mechanism is disrupted by factors either within the person's body or in their environment,"" Kim said in a journal news release.

This new form of the condition is called recurrent spontaneous vertigo with head-shaking nystagmus. Thirty-five study participants had this form of vertigo.

They were compared to 35 others whose vertigo is triggered by other conditions, including the inner ear disorder Meniere's disease. Those with the newly identified form of vertigo experienced uncontrolled eye movements for 12 seconds -- twice as long as those with Meniere's and five seconds longer than those with vestibular migraine and another inner ear disorder called vestibular neuritis.

Those with the new form of vertigo were also more likely to have severe motion sickness than those with other forms of the condition, the study showed.

Preventative medication was given to 20 of the 35 people with the newly detected type of vertigo. Of these, one-third saw their symptoms reduced or they recovered completely.

The researchers followed the new vertigo patients for an average of 12 years. Five had no more attacks, 14 had an improvement in their condition, and only one person had a worsening of symptoms. The others' outcomes were not revealed.

More information

The U.S. National Library of Medicine provides more on vertigo.",neurological
Prostate cancer breakthrough as UK team develops more accurate test,"Scientists have announced the development of a highly accurate and reliable technique for diagnosing prostate cancer. The Dundee University-based team say they have used an ultrasound process called shear wave elastography (SWE) to detect prostate tumours. The method is non-invasive and cheaper than current detection techniques.

Prostate cancer has become the most common cancer in men in the UK. One in eight men will develop the condition at some point in their lives with more than 47,000 new cases being diagnosed every year. Men aged 50 or over, men with a family history of prostate cancer, and black men are at greatest risk of developing the condition.

“Current diagnosis of prostate cancer is extremely inefficient, leading to unnecessary treatments for many patients,” said the Dundee University team’s leader, Professor Ghulam Nabi. “Our new method is far more accurate and also allows us to identify the difference between cancerous and benign tissue in the prostate without the need for invasive surgery.”

The prostate is a small gland in the male reproductive system and is normally about the shape and size of a walnut. Current methods for determining if a prostate has become cancerous include a physical examination of the prostate (known as a digital rectal examination or DRE), MRI scans, a biopsy or tests to determine levels of the chemical prostate-specific antigen (PSA) in the blood.

Facebook Twitter Pinterest Stephen Fry, who has had surgery to deal with a prostate tumour, says he is excited by the new diagnostic test. Photograph: HGL/GC Images

Each carries problems. PSA results can be unreliable; a DRE is not good at identifying which cancers are benign and which need treatment; MRI scans cannot always give a definitive answer; while a biopsy carries a risk of infection and is expensive.

The new method aims to get round the problems by targeting the prostate with ultrasound. Cancerous tissue is stiffer than normal tissue so shear waves are slowed as they pass through a tumour.

“We have been able to show a stark difference in results between our technology and existing techniques such as MRI,” added Nabi. “The technique has picked up cancers which MRI did not reveal. We can now see with much greater accuracy what tissue is cancerous, where it is and what level of treatment it needs. This is a significant step forward.”

The trial tests involved around 200 patients. “Now we need to use this on a wider scale to build more data but there is clearly the potential to really change the way we manage prostate cancer,” Nabi said.

SWE technology is already used in diagnosing breast cancer and liver diseases. However, to make it applicable to prostate cancer a special probe had to be developed by the team.

“The technique now needs to be tested in a much larger number of men to confirm just how well it can detect the aggressive cancers, while also ruling out those who do not have prostate cancer,” said Simon Grieveson, head of research funding at Prostate Cancer UK, which funded the Dundee project (with support from the Movember Foundation).

“With an average of one man dying every 45 minutes from prostate cancer in the UK, the need for a more reliable test that can identify dangerous forms of the disease earlier is greater than ever.”

Theresa May launches £75m drive against prostate cancer Read more

In the past few years, a number of celebrities have revealed that they had been diagnosed with prostate cancer and have joined campaigns to raise awareness of the disease, including Michael Parkinson, Ian McKellen and most recently Stephen Fry, the comedian and former rector of Dundee University, who this year described how he had surgery to deal with a prostate tumour.

“This breakthrough comes at a time when prostate cancer is being pushed to the forefront of our consciousness in the UK, not least because of the disturbing upward trend in its prevalence,” said Fry. “It is therefore doubly exciting to hear of the new techniques in diagnostic imaging.

47,000

Number of cases of prostate cancer diagnosed every year in the UK

11,000

The number of men who die each year from the disease

1 in 8

Proportion of UK men who will get prostate cancer in their lifetime",cancer
Three-in-One Pill Shows Promise in Beating High Blood Pressure,"En Español

TUESDAY, March 13, 2018 (HealthDay News) -- A pill that combines three blood pressure-lowering drugs improves people's chances of lowering their high blood pressure, researchers report.

The pill contains low doses of the three medications -- telmisartan, amlodipine and chlorthalidone.

The finding stems from a study of 700 people, who averaged 56 years old. All had high blood pressure.

Among those who took the so-called ""triple pill"" for six months, 70 percent had achieved their blood pressure targets, compared with 55 percent of those who received their usual care. Usual care meant taking whatever blood pressure medicine their doctor prescribed.

The rate of side effects was no greater among those who took the three-in-one pill than among the usual care group.

""Based on our findings, we conclude that this new method of using blood pressure-lowering drugs was more effective and just as safe as current approaches,"" lead author Ruth Webster said in a news release from the American College of Cardiology. She's a researcher with the George Institute for Global Health at the University of New South Wales in Sydney, Australia.

The study was presented Monday at the annual meeting of the American College of Cardiology in Orlando, Fla. The findings should be considered preliminary because research presented at meetings has not undergone the rigorous scrutiny given to research published in medical journals.

""The most urgent need for innovative strategies to control blood pressure is in low- and middle-income countries,"" Webster said. ""The triple pill approach is an opportunity to 'leapfrog' over traditional approaches to care and adopt an innovative approach that has been shown to be effective.""

High blood pressure increases the risk for heart attack, stroke and kidney problems.

""A control rate of 70 percent would be a considerable improvement, even in high-income settings,"" Webster said. ""Most hypertension guidelines in these countries do not recommend combination blood-pressure-lowering therapy for initial treatment in all people.""

The findings, she said, ""should prompt reconsideration of recommendations around the use of combination therapy.""

More information

The U.S. Food and Drug Administration has more on high blood pressure medications.",cardiovascular
Test risk of breast cancer from home with new FDA-approved DNA kit by 23andMe,"Ashley May

USA TODAY

Breast cancer test kits by genetic testing company 23andMe just received Food and Drug Administration approval.

The prescription-free test is the first to report on three specific BRCA1 and BRCA2 breast cancer gene mutations, according to the FDA.

By analyzing DNA collected through a saliva sample, the test detects increased risk of developing breast, ovarian or prostate cancer.

More:Breast cancer: Study finds tumor risk increased by use of oral contraceptives

More:A man, a camera and a pink tutu fight breast cancer

But “it has a lot of caveats,” warned Donald St. Pierre, acting director of the FDA's Office of In Vitro Diagnostics and Radiological Health. The test detects only three out of more than 1,000 known BRCA mutations. That accounts for a small percentage of people. Those most at risk of developing such cancers are of Eastern European Jewish descent.

“The test should not be used as a substitute for seeing your doctor for cancer screenings or counseling on genetic and lifestyle factors that can increase or decrease cancer risk,” he said.

These tests might help with prevention, but cannot diagnose cancer and cannot rule out your chances of getting cancer, 23andMe said.

Still, the company, which already tests DNA for other health risks as well as ancestry, said this cancer test is ""a step in the right direction.""

Follow Ashley May on Twitter: @AshleyMayTweets",cancer
"New test can detect autism in children, scientists say","Blood and urine test, believed to be first of its kind, could lead to earlier diagnosis of autism spectrum disorders

Scientists in Britain say they have developed a blood and urine test that can detect autism in children.

Researchers at the University of Warwick said the test, believed to be the first of its kind, could lead to earlier diagnosis of autism spectrum disorders (ASD) in children who could then be given appropriate treatment much earlier in their lives.

ASDs mainly affect a person’s social interaction and communication, with symptoms that can include speech disturbances, repetitive and/or compulsive behaviour, hyperactivity, anxiety, and difficulty adapting to new environments.

As there is a wide range of ASD symptoms, diagnosis can be difficult and uncertain, particularly at the early stages of development. It is estimated that about one in every 100 people in the UK has ASD, with more boys diagnosed with the condition than girls.

Scientists said their research found a link between ASD and damage to proteins in blood plasma. They found the most reliable of the tests they developed was examining protein in blood plasma, which found children with ASD had higher levels of the oxidation marker dityrosine (DT) and certain sugar-modified compounds called advanced glycation end-products (AGEs).

Genetic causes are thought to be responsible for about a third of cases of ASD, while the rest are believed to be caused by a combination of environmental factors, mutations, and rare genetic variants. However, researchers believe their new tests could reveal yet-to-be-identified causes of ASD.

They also confirmed the previously held belief that mutations of amino acid transporters are a genetic variant associated with ASD.

The Warwick team worked with collaborators at the University of Bologna in Italy, who recruited 38 children who had been diagnosed with ASD along with a control group of 31 other children between the ages of five and 12. Blood and urine samples were taken from the children for analysis.

The Warwick team discovered there were chemical differences between the two groups. Working with a further collaborator at the University of Birmingham, the changes in multiple compounds were combined using artificial intelligence algorithm techniques to develop a mathematical equation to distinguish between ASD and healthy controls. The outcome was a diagnostic test better than any existing method.

They said the next steps were to repeat the study with further groups of children to confirm the good diagnostic performance and to assess if the test could identify ASD at very early stages, indicate how the ASD is likely to develop further to more severe disease, and assess if treatments were working.

The research was led by Naila Rabbani, reader of experimental systems biology at the University of Warwick, who said: “Our discovery could lead to earlier diagnosis and intervention. We hope the tests will also reveal new causative factors.

“With further testing we may reveal specific plasma and urinary profiles – or ‘fingerprints’ – of compounds with damaging modifications. This may help us improve the diagnosis of ASD and point the way to new causes of ASD.”

The research has been published in the journal Molecular Autism.

• Note added 27 February 2018: The UK autism research charity, Autistica, provided the following comment to the Guardian: “This is a small, early-stage study which may explain one biological difference in autism. At this stage, the results presented are not strong enough to suggest that this method could be used for the diagnosis of autism. For example, we don’t know whether this technique can distinguish autism from ADHD, anxiety or other similar conditions. There have been many previous attempts to develop a biological test for autism. Still, the best way to diagnose autism is through clinical interview and observation, which takes into account the many features of autism.”",mental_health
