title,content,type
Pence: Obamacare here until Congress is ready,"VP Mike Pence noted that Congress ""just can't get their act together"" and was not ready to repeal Obamacare. Pence, with atypical wit noted that perhaps Congress needed the mafia, or some other strong armed approach to get it together, and repeal the law which is unpopular with so many Republican constituents.  Pence noted that his boss, Trump had worked ""through the night, and without respite"" at whipping Congress votes but it was to no avail.",politics
Trump's next legislative target:  tax reform,"While he may have failed (at least for now) on his promise to repeal and replace Obamacare, President Donald Trump reassured the country that the fight wasn't over, a statement echoed by Vice President Mike Pence.  He went on to spell out his next goal - eliminating the federal income tax.  ""Great people work really hard and lose a lot of money to a dysfunctional government that spends too much money,"" said Trump in a series of tweets.  ""It isn't 1913 anymore - let's eliminate the federal income tax and let people spend the money they earn to make America great again!""",politics
Schumer: Trump total health care buffoon,"Senator Chuck Schumer (D-NY) had a scathing criticism for President Trump following the debacle regarding the GOP's failed repeal and replace of Obamacare.  ""He doesn't get it,"" Senate Minority Leader Schumer remarked. ""He just totally does not get it.  Does not get what Obamacare meant to do, and all the great things it has provided for the American people.  This guy is out of touch!"" Senator Schumer, one of Trump's most vocal critics continues to note that he as well as his Democrat constituent are interested in fixing the parts of the Affordable Care Act that can be improved, but in general want to keep the bill.",politics
Presided Trump pretends to be a worker bee,"President Trump agreed to participate in the undercover boss discovery mission. Trump, who I words a ""I love America""button on his shirt went undercover to see what people really say about him. He tried his best to emulate a regular working class person. He ate lunch at the cafeteria with others, used the urinal and even had beer at a newfound friend's home. After shortly being discovered Trump met with the whole company and provided free, outside lumnch for the month exclaiming he couldn't believe they ate that type of food",politics
Trump Calls Democrats Smarter Than His Party,The American Health Care Act was pulled from an anticipated vote after it was obvious to President Trump and his big brain that he actually prefers the Obamacare. Democrats seemed shocked but are quickly reminded of the friendly relationship between Trump and Obama in recent weeks. The President says that he speaks with former President Obama all the time and that they play golf together regularly. Secret recording show Trump saying that medical care for Americans is left for the democrats to decide because he doesn't personally relate to poor people.,politics
State Department relaxes travel restrictions for certain foreigners.,"Washington (CNN) Secretary of State Rex Tillerson sent out a memorandum today to various worldwide embassies directing them to ease restrictions on foreigners' ability to travel.  Specifically, they have been asked to cease the screening of applicants' social media accounts and limit background checks to include known terrorists.  This action seems to be in direct violation of President Donald's Trump executive order restricting travel from most Muslim countries, which he signed on March 6.  The memorandum, marked ""sensitive"" but not classified, was leaked to the media by sources close to the State Department; more information will be posted as it becomes available.",politics
Women arrested  three times is Melania Trump,"(CNN) A lady resembling Presidents Trump's wife was arrested on multiple occasions when she was discovered without her makeup on. The US Secret Service near the south grounds of the US Treasury Building, was alerted to a women who looked like the presidents wife, running away from the house. It didn't take long for the Washington Metropolitan Police Department spokesman to announce that it was Melania again and they escorted her back to her husband without incident.",politics
"Melania Trump: Women First, Only","In Washington, first lady Melania Trump, third wife to Donald Trump, US President, spoke about equality and freedom for women at the International Women's Day luncheon at the White House.  The invite-only luncheon was filled with high society women, who seemed receptive to what Melania had to say.  Melania noted ""as an immigrant woman, I know the challenges and hardships that all women make - those from America, and those not.""  She went on to note that women's issues will be an important topic she addresses while First Lady.",politics
"Hillary Clinton, the Debate Tormentor","Hillary Clinton, Democratic Vice Presidential nominee spent much of the last debate interrupting her republican opponent, businessman Donald Trump. Hillary mocked Trump and often tried to ""translate"" things he had said.  Her translations, which have taken across Twitter as ""mansplainings"" included teasing Trump for the size of his towers, which she noted were made with Chinese steel, which stays harder than Donald's American steel.  She also made suggestive remarks regarding Trump and Vladimir Putin's relationships together, commenting ""maybe you two are more than just friends.""",politics
"Moderator Chris Wallace sat , horrified at Wednesday night's debate between Clinton and Trump. Despite Clinton's bleeding heart , blow hard style, she was unable to solidify the yet undecided voter. Questions that were taken from the audience prior to the town hall style debate where peppered with several topics including healthcare, her inaction in regards to Benghazi, and leaked emails. Clinton became visibly frustrated when questioned as to whether or not she would dismantled NAFTA. But Donald was not without his own issues, when asked what kind of dog he would have in the White House if elected, he said he and the First Family would put it to a vote, but he didn't know if he would accept the results if the vote was rigged against him. He prefers pit bulls.",,politics
Pres. Trump Declares That He Is Moving White House,"Washington (CNN)Attorney General Jeff Sessions has declared that President Trump has decided to move the White House to a sanctuary city. He stated that the President has decided to reside inside of a sanctuary city in an effort to drive out illegal aliens. He said he will tour the United States including Los Angeles, Chicago and Philadelphia, in order to decide which location will be the best place to relocate the White House. Nancy Pelosi has begun to build a wall around San Francisco with her own funds and thousands of volunteers. The wall will be called, ""Oh No"" and is scheduled to be completed this week.",politics
Clinton encourages followers to embrace a Trump presidency,"Hillary Clinton conceded her loss graciously on Wednesday by applauding Donald Trump for his victory and encouraging the American public to embrace his leadership wholeheartedly. Clinton told an attentive crowd, ""Donald Trump is going to be our president. I hope that he will be a successful president for all Americans."" This acceptance of her opponents victory was met by the roar of applause. Clinton continued, ""I still believe in America and always will. And if you do, then we must accept this"" outcome. This statement by Clinton brings an end to her often-tumultuous election campaign and shows that, true to his words, Trump is already proving to be a unifying force in American politics.",politics
Neil deGrasse Tyson praises Trump on budget plan,"Astrophysicist Neil deGrasse Tyson  praise Donald Trump on his budget plans that include sending man to the moon again in 2019 and to ""the large-scale economic development of space."" ""The fastest way to make America great again:  Set a goal to return to the moon,"" he tweeted in praise of the President.  ""the fastest way to make America great again, commit to a bold plan to the business of space development.""",politics
Melania Trump hires Angelina Jolie as her communications director,"First lady Melania Trump has hired a well known actress and advocate for human rights as a member of her White House communications staff for her East Wing team.  Actress Angelia Jolie will serve as communications director for the first lady, the White House announced this Monday.  Jolie has been an international advocate of human right's and children's issues in addition to her well known roles as an actress.  ""It gives us great pleasure to hire Angelina in this new role"", remarked President Donald Trump.  ""I know Angelina will do a good job communicating everything that comes out of the Office of the First Lady, who is doing a tremendous job by the way"", remarked Trump.  Jolie is well known for her acting and humanitarian efforts, but recently has been in the news because of a split with her husband, Brad Pitt.",politics
First on CNN: Border wall will cost much less than anticipated due to cheap labor,"Washington (CNN) The Trump administration has asked for just $1 million of funding to cover the first 62 miles of border wall.  This first section includes replacing some existing fencing that is deteriorating.  Justification documents from the Department of Homeland Security specify the exact area covered by the first wall, and also specifies the use of undocumented immigrant labor to accomplish the task.  ""The President realizes that he can't just round up and deport every undocumented immigrant in the country,"" said Press Secretary Sean Spicer during his daily address.  ""So instead he is putting them to work - they get an income, and we get a wall.  It's a win-win for everybody,"" Spicer said.",politics
"Ellison: Democrats ""gloating"" over Republican misfortunes","Washington (CNN) Democratic lawmakers say they are ""gloating"" over their Republican counterparts' failure to repeal Obamacare, Rep. Keith Ellison said Monday. Speaking on CNN's ""New Day"" with Chris Cuomo, the Minnesota Democrat and deputy chairman of the Democratic National Committee said he and his party find it hilarious that Republicans still expect them to cooperate on issues like drug prices, infrastructure and tax reform. ""If the Republicans are finally forced to acknowledge that they are bamboozling the American people and that their leader is a psychopathic clown who makes cooperation of any kind impossible, I think that's a good thing,"" Ellison said.",politics
US says no to UN nuke ban,"A boycott of the United Nations is being led by UN ambassador Nikki Haley.  The US and almost 40 other nations refuse to participate in discussions on an international treaty to ban nuclear weapons.  Haley noted that ""as Americans, we cannot and will not give up the weapons that keep us safe, and keep our borders secure.""  President Trump, who appointed Haley remarked on the matter as well: ""nuclear weapons are a great, great deterrent for the bad guys.  No way we'll not have them.  No way!""",politics
CNN - Washington Intelligence has learned through very credible sources that the Russians have perfected ways to control President Trump through electronic devices. They are small battery packs that can be slipped into his suit pockets or even as small as a hearing aid or a watch battery that can be placed almost anywhere. They are using electronic signals that have subliminal messages that only the President can hear. Their agenda is clear and the CIA and FBI are monitoring this situation. We do know that Jarred Kushner and Ivanka are secret operatives and are helping to carry this through.,,politics
FBI investigates computer link between Trump and Clinton,"(CNN)Federal investigators and computer scientists are still trying to figure out why Donald Trump was secretly emailing Bill Clinton. The FBI had named the secret mission RUSSIA, which stood for ""R. U. Sure Secret Isn't Affection."" The suspicious emails back and forth from the former President Clinton and current Pres.Trump are still being investigated and analyzed. Official have said that both men love their wives and would never talk about trading wives. The statement just raised a frenzy of questions. The odd exchange is under scrutiny and has the FBI working overtime.",politics
"In Second Debate, Donald Trump and Hillary Clinton Spar, Clinton faints under withering attacks","Hillary Clinton and Donald Trump clashed in the final presidential debate for 90 minutes on Sunday night, in a withering back and forth that made onlookers blush.  Mr. Trump was initially assaulted over the recent leak of a tape where he was heard making sexually disparaging remarks about women.  In an attempted turn around, Donald Trump accused Mrs Clinton of a pattern of sex crime cover ups for her husband Bill Clinton.  Trump placed three of Mr. Clinton's accusers in the audience to stare down Mrs. Clinton.  Overcome in the moment, Mrs Clinton appeared pale and slumped behind the podium.  Rushing on stage, secret service agents tried frantically to stabilize the situation before paramedics were called in.  Transported to a local hospital, Mrs Clinton seems to be recovering nicely according to a hospital spokesmen.",politics
