content,type
obama ordered cia to train isis jihadists,political_general
"george soros said, im going to bring down the united states by funding black hate groups. well put them into a mental trap and make them blame white people. the black community is the easiest to manipulate.",race_protest_police
Six police officers were killed in 10 days while working during protests against police violence and racial injustice in the spring of 2020.,race_protest_police
joe biden wants to end school choice.,political_general
a photo shows a memorial vandalized by black lives matter protesters.,race_protest_police
celebrities are calling for a 'total hollywood strike' until trump resigns.,political_general
joe biden is formally listed as criminal suspect in ukraine case involving his son.,political_general
osama bin laden endorsed joe biden,political_general
here are pictures from trumps tulsa rally!!!,political_general
congress files charges against nancy pelosi.,political_general
"bernie sanders collaborated with marxist regimes in the soviet union, nicaragua and cuba.",political_general
a ballot can be emailed to wisconsin voters even a day before the election.,elections_voting
"the media cut out his request of russian hackers to find hillary clintons emails right at the end so that you dont see the laughter, the joke.",political_general
photo shows wayfair president of operations bill hutcherson with ghislaine maxwell.,political_general
"the ceo of camping world told trump supporters frankly, dont shop at my business.",political_general
a video shows joe biden looking at books about dementia.,political_general
hurricane hanna hitting texas has blown over part of a border wall.,immigration_religion
a photo shows ex-minneapolis police officer derek chauvin wearing a make whites great again hat.,race_protest_police
tom hanks was arrested in australia for pedophilia.,conspiracy
nfl will fly a black lives matter flag under the american flag at games.,race_protest_police
the owner of taco bell said them animals need to be shot (black ppl)!,political_general
"democrats are embracing abortion up until the moment of birth and even, horrifically, after that.",political_general
michigan house passes bill to voluntarily begin placing human implantable microchips into the bodies of all state government employees,political_general
"i thought it was a terrible thing when (nancy pelosi) ripped up the speech. first of all, it's an official document. you're not allowed. it's illegal what she did. she broke the law.",immigration_religion
mcdonalds (makes) you all sign noncompete contracts that you cannot go across town to try to get a job at burger king.,economy_taxes_jobs
The address to the White House changed from 1600 Pennsylvania Avenue to 1600 Black Lives Matter Plaza.,race_protest_police
"a joe biden-bernie sanders unity policy document shows they want to abolish our police departments. they want to abolish our prisons, i guess.",race_protest_police
taylor swift wants to remove the statue of liberty,political_general
the 9/11 memorial in nyc was just defaced with graffiti.,political_general
joe biden called antifa courageous americans.,race_protest_police
no tear gas was used and no rubber bullets were used.,political_general
sen. chuck schumer deleted a feb. 5 tweet criticizing president donald trumps decision to ban some forms of travel to and from china.,political_general
video shows seattle police in uniform vandalizing a building to frame protesters.,race_protest_police
"nancy pelosi ordered a 220-seat boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually.",political_general
video shows joe biden stuttering after being asked about touching women without their permission on the view.,political_general
the confederacy was more about states rights than slavery.,political_general
"pick up a product. look at the barcode. if the first 3 numbers are 690 or 691 or 692, the product was made in china.",political_general
"last year, there were nine unarmed black people killed (by law enforcement). nineteen unarmed white people.",race_protest_police
democrats blocked the iowa poll and blocked the iowa caucus.,elections_voting
a photo shows portland protesters pointing lasers at federal officers.,race_protest_police
a photo shows the lincoln memorial. his head damaged and defaced.,political_general
a photo shows air force one at the 2020 daytona 500.,political_general
nancy pelosi was arrested after ripping a copy of the state of the union speech.,political_general
videos show president donald trump saying i cant breathe.,political_general
george soros is funding the chaos in minneapolis via his open society foundations.,conspiracy
"in sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public instead of handing them over to ice to be safely removed.",race_protest_police
nascar eliminated the national anthem at races.,political_general
jimmy carter has endorsed bernie sanders.,political_general
these peaceful protesters burned these horses to death.,race_protest_police
more than 20 police officers are dead now because of the riots.,race_protest_police
"fired inspector general michael atkinson brought a terrible, inaccurate whistleblower report to congress.",political_general
trumps star on the hollywood walk of fame has been destroyed.,political_general
"the flu killed 80,000 americans last year according to the cdc.",covid_health
"according to its website black lives matter, inc is not a charity. it is a full-fledged corporation that does not have any locations.",race_protest_police
"joe biden proposed killing over 600,000 jobs supported by fracking.",economy_taxes_jobs
there were not chemical irritants used to clear a crowd. pepper balls are not a chemical irritant.,political_general
ice arrests la mayor for harboring fugitives through sanctuary city.,immigration_religion
a video shows joe biden lolling his tongue.,political_general
politicians receive full pay retirement after serving 1 term!,political_general
"last year, for the first time in 51 years, the cost of prescription drugs actually went down.",political_general
tom hanks name is on jeffrey epsteins flight logs.,political_general
gov. tony evers has never had a real job.,economy_taxes_jobs
